ROJO,VERDE,AZUL,TEMP,HUME,PT100,AMBIENTE
21,28,21,60,18,503,desierto
20,27,26,60,17,508,desierto
27,36,34,60,17,495,desierto
25,33,31,60,16,508,desierto
24,27,30,60,15,507,desierto
46,55,76,39,23,501,tropico
47,55,77,39,22,498,tropico
46,47,74,32,27,494,tropico
34,33,61,33,26,503,tropico
34,41,63,32,26,502,tropico
24,24,21,26,29,502,invierno
24,25,21,24,31,501,invierno
24,25,21,22,33,506,invierno
27,28,23,23,31,501,invierno
27,27,23,23,31,502,invierno
30,42,35,60,2,500,desierto
32,44,40,60,2,498,desierto
19,25,25,60,2,501,desierto
4,4,4,60,2,504,desierto
4,4,4,60,2,499,desierto
30,41,38,60,2,503,desierto
32,43,34,60,2,500,desierto
24,25,21,39,22,494,invierno
25,25,21,32,26,499,invierno
25,25,21,31,26,493,invierno
25,26,21,31,26,499,invierno
25,25,21,29,27,499,invierno
24,25,16,29,27,494,invierno
37,43,65,28,28,503,tropico
41,49,75,28,29,497,tropico
39,48,73,28,29,503,tropico
36,43,67,28,29,497,tropico
43,49,79,28,30,500,tropico
41,49,76,28,30,495,tropico
